id,pred,split
websrc_websrc_1_8_3469,Dylan Windler,public
websrc_websrc_1_8_3683,Guard,public
websrc_websrc_1_8_3714,Raul Neto,public
websrc_websrc_1_8_3752,29,public
websrc_websrc_1_8_3815,Thon maker,public
websrc_websrc_1_8_3938,Tennessee,public
websrc_websrc_1_8_4278,195,public
websrc_websrc_1_8_4399,Pj dozier,public
websrc_websrc_1_8_4763,27,public
websrc_websrc_1_8_5145,Emmanuel Mudiay,public
websrc_websrc_1_8_5729,3/18/1994,public
websrc_websrc_1_8_6157,205,public
websrc_websrc_1_8_6392,Weight,public
websrc_websrc_1_8_6405,Doug McDermott,public
websrc_websrc_1_8_6485,Jeremiah martin,public
websrc_websrc_1_8_6605,Dzanan Musa,public
websrc_websrc_1_8_6675,Chris paul,public
websrc_websrc_1_8_6908,Weight,public
websrc_websrc_1_9_245,4,public
websrc_websrc_1_9_454,30,public
websrc_websrc_1_9_486,13.5,public
